순번,충전구분,충전소명,주소,충전기 최대 용량,충전량(kWh),충전시간,날짜,충전시작시간,충전종료시간
12,급속,어린이대공원 후문주차장,광진구 능동로 216,50,6.75,29분,2022-01-19,13:40,14:08
24,급속,어린이대공원 후문주차장,광진구 능동로 216,50,20.2,41분,2022-01-19,12:56,13:36
131,급속,어린이대공원 후문주차장,광진구 능동로 216,50,13.4,41분,2022-01-18,19:45,20:25
137,급속,어린이대공원 후문주차장,광진구 능동로 216,50,0,1분,2022-01-18,19:18,19:18
139,급속,어린이대공원 후문주차장,광진구 능동로 216,50,8.88,16분,2022-01-18,19:01,19:17
148,급속,어린이대공원 후문주차장,광진구 능동로 216,50,18.12,41분,2022-01-18,18:21,19:01
149,급속,어린이대공원 후문주차장,광진구 능동로 216,50,0,1분,2022-01-18,18:20,18:20
187,급속,어린이대공원 후문주차장,광진구 능동로 216,50,12.39,41분,2022-01-18,15:26,16:06
209,급속,어린이대공원 후문주차장,광진구 능동로 216,50,24.3,41분,2022-01-18,13:52,14:33
245,급속,어린이대공원 후문주차장,광진구 능동로 216,50,11.93,30분,2022-01-18,10:12,10:42
251,급속,어린이대공원 후문주차장,광진구 능동로 216,50,16.17,41분,2022-01-18,9:31,10:11
262,급속,어린이대공원 후문주차장,광진구 능동로 216,50,9.37,41분,2022-01-18,4:19,4:59
315,급속,어린이대공원 후문주차장,광진구 능동로 216,50,15.07,41분,2022-01-17,17:11,17:51
326,급속,어린이대공원 후문주차장,광진구 능동로 216,50,23.53,41분,2022-01-17,16:20,17:00
363,급속,어린이대공원 후문주차장,광진구 능동로 216,50,30.06,41분,2022-01-17,12:22,13:02
391,급속,어린이대공원 후문주차장,광진구 능동로 216,50,19.64,41분,2022-01-17,9:28,10:08
397,급속,어린이대공원 후문주차장,광진구 능동로 216,50,13.43,41분,2022-01-17,8:32,9:12
402,급속,어린이대공원 후문주차장,광진구 능동로 216,50,17.32,41분,2022-01-17,7:45,8:25
426,급속,어린이대공원 후문주차장,광진구 능동로 216,50,7.87,11분,2022-01-16,20:02,20:13
432,급속,어린이대공원 후문주차장,광진구 능동로 216,50,28.6,41분,2022-01-16,19:22,20:02
436,급속,어린이대공원 후문주차장,광진구 능동로 216,50,20.97,35분,2022-01-16,18:09,18:43
444,급속,어린이대공원 후문주차장,광진구 능동로 216,50,29.18,41분,2022-01-16,17:19,17:59
449,급속,어린이대공원 후문주차장,광진구 능동로 216,50,0.01,1분,2022-01-16,16:27,16:27
452,급속,어린이대공원 후문주차장,광진구 능동로 216,50,0.71,15분,2022-01-16,16:11,16:26
458,급속,어린이대공원 후문주차장,광진구 능동로 216,50,4.77,41분,2022-01-16,15:29,16:09
465,급속,어린이대공원 후문주차장,광진구 능동로 216,50,12,41분,2022-01-16,14:45,15:25
473,급속,어린이대공원 후문주차장,광진구 능동로 216,50,28.39,41분,2022-01-16,14:01,14:41
475,급속,어린이대공원 후문주차장,광진구 능동로 216,50,14.74,21분,2022-01-16,13:25,13:45
479,급속,어린이대공원 후문주차장,광진구 능동로 216,50,20.03,32분,2022-01-16,12:37,13:08
495,급속,어린이대공원 후문주차장,광진구 능동로 216,50,11.9,41분,2022-01-16,6:56,7:36
497,급속,어린이대공원 후문주차장,광진구 능동로 216,50,16.62,41분,2022-01-16,6:16,6:56
525,급속,어린이대공원 후문주차장,광진구 능동로 216,50,20.6,41분,2022-01-15,19:13,19:53
527,급속,어린이대공원 후문주차장,광진구 능동로 216,50,11.9,18분,2022-01-15,18:52,19:09
533,급속,어린이대공원 후문주차장,광진구 능동로 216,50,2.14,31분,2022-01-15,17:34,18:04
539,급속,어린이대공원 후문주차장,광진구 능동로 216,50,5.96,41분,2022-01-15,16:50,17:30
548,급속,어린이대공원 후문주차장,광진구 능동로 216,50,13.12,41분,2022-01-15,16:02,16:42
